OBJECTID,Jurisdiction,Dedication Feature Type,Dedication Type,Displayed Sign Text,Dedication Year,Information,Streetview,GlobalID,Search URL
1,Anne Arundel,ROAD,Political_Service,Governor Ritchie Highway,1937,"Named in honor of Albert C. Ritchie, 49th Governor of Maryland for a record four terms.","https://www.google.com/maps/@39.2341168,-76.6118236,3a,73.7y,193.23h,86.09t/data=!3m6!1e1!3m4!1so61PJE4hyjN3BAe7P8x8OQ!2e0!7i13312!8i6656",0d840dcd-1bc2-4c82-97f3-890e7faf9753,https://bit.ly/2CopTDH
2,Anne Arundel,ROAD,Political_Service,Aris T. Allen Boulevard,1992,"Named in honor of Dr. Aris T. Allen, who was the first African-American chair of the Maryland Republican party and the first African-American to run for a statewide office in Maryland.","https://www.google.com/maps/@38.983405,-76.5655106,3a,73.7y,97.51h,87.35t/data=!3m6!1e1!3m4!1shyrXSyN8f9hWLozBTXHryw!2e0!7i13312!8i6656",96412d0b-7d51-4c92-89fe-45d5b497d2aa,https://bit.ly/2W3BNKL
3,Anne Arundel,ROAD,Political_Service,Paul T. Pitcher Memorial Highway,1970,"Named in honor of Paul T. Pitcher, an Anne Arundel County Executive who originally conceived MD Route 100.","https://www.google.com/maps/@39.1188919,-76.5203689,3a,75.2y,264.9h,79.28t/data=!3m6!1e1!3m4!1sMGqaNIdKDu0Qz3y_bXGrmA!2e0!7i13312!8i6656",a9dd5332-df05-4abb-9c17-2b6a61539510,https://bit.ly/2T8s3gi
4,Anne Arundel,ROAD,Political_Service,This Highway Dedicated to Senator John A. Cade,1998,"Dedicated to John A. Cade, former Maryland Senator who was instrumental in securing funding for I-97. ","https://www.google.com/maps/@39.1181249,-76.6370855,3a,52.9y,135.27h,86.65t/data=!3m6!1e1!3m4!1sfWTviC95TFaTwnW1dr-7Fg!2e0!7i13312!8i6656",b3ab27fd-24fe-45a2-9987-23d2c9f01a0a,https://bit.ly/2JdhZ62
5,Anne Arundel,ROAD,Military_Service,Generals Highway,N/A,Named in honor of General George Washington who traveled this route in December 1783 as part of his journey from New York to Annapolis to resign as Commander-in-Chief.,"https://www.google.com/maps/@39.0722807,-76.631956,3a,73.7y,122.3h,66.07t/data=!3m6!1e1!3m4!1sCMmG6GPWmuTeoG0TxrW42Q!2e0!7i13312!8i6656",17bbfa96-89f2-4290-b183-7e90edd3014e,https://bit.ly/2KVtsUX
6,Anne Arundel,BRID,Political_Service,William Preston Lane Jr. Memorial Bridge,1952,"Named in honor of William Preston Lane, Jr., 52nd Governor of Maryland who in 1947 initiated the legislation to begin construction of the first span of the ""Bay Bridge"".","https://www.google.com/maps/@39.0197814,-76.4137743,3a,49.2y,133.66h,79.53t/data=!3m6!1e1!3m4!1s9kRoHL6qTqJqACzYCx10GA!2e0!7i13312!8i6656",17e5e055-34de-4441-8ab8-334ee6086bbe,https://bit.ly/2Ho9eUW
7,Anne Arundel,ROAD,Political_Service,This Highway Dedicated to Governor Theodore R. McKeldin,2005,"Dedicated to Theodore Roosevelt McKeldin, 53rd Governor of Maryland. Construction of the ""Baltimore Beltway"" began under his watch in 1954.
","https://www.google.com/maps/@39.3901898,-76.7191568,3a,24.7y,110.39h,89.18t/data=!3m6!1e1!3m4!1seOeJM-aXwEGm7BcFCEwLhQ!2e0!7i13312!8i6656",93158a41-7e8a-43a8-a55a-f80ba383907e,https://bit.ly/2J9PG8j
8,Baltimore,ROAD,Political_Service,John F. Kennedy Memorial Highway,1964,"Named in honor of President John F. Kennedy, who officiated the ceremony dedicating I-95 and was assassinated 8 days later.","https://www.google.com/maps/@39.3225429,-76.5294895,3a,73.7y,55.19h,81.72t/data=!3m6!1e1!3m4!1s6pbvX3N4EDRSjK1uxmj2Kw!2e0!7i13312!8i6656",9b787865-f029-4f2a-ab06-3e1c6ac7fa9e,https://bit.ly/2PkxJSB
9,Baltimore,ROAD,Military_Service,Dedicated to Veterans of Foreign Wars,2001,"Dedicated to Veterans of Foreign Wars, a nonprofit veterans service organization devoted to veterans  service, legislative advocacy, and military and community service programs.","https://www.google.com/maps/@39.4569392,-76.6505829,3a,44.7y,315.35h,90.11t/data=!3m6!1e1!3m4!1sGmPFR5KeOx99wfEr04gsog!2e0!7i13312!8i6656?hl=en",edd9bc83-7eb5-4239-8077-84d968a9a8b8,https://bit.ly/2u4cQmq
10,Baltimore,BRID,Honorary,Francis Scott Key Bridge,1977,"Named in honor of Francis Scott Key, Maryland native and author of our national anthem, ""The Star-Spangled Banner.""",https://goo.gl/maps/zauetCVf7332,a286325b-836b-4600-ada8-cf8bd1c8d6f5,https://bit.ly/2EanhvH
11,Baltimore,ROAD,Military_Service,Maryland Purple Heart Trail I-95,1992,Let it be known that those who wear the Purple Heart have given their blood in the defense of their homeland and shall be forever revered by their countrymen.,https://geo.sha.maryland.gov/images/GoogleStreetViewUnavailable.png,2eb41096-bb87-403d-a50f-56168b2c9422,https://bit.ly/2RFzY4E
12,Baltimore,BRID,Honorary,This Bridge Dedicated to Harry Dorsey Gough Founder of Perry Hall,2004,"Dedicated to Harry Dorsey Gough, influential 18th century businessman and original owner of the Perry Hall Mansion, the area’s namesake.","https://www.google.com/maps/@39.4269672,-76.4454817,3a,49.4y,83.78h,75.78t/data=!3m6!1e1!3m4!1s_ai4Ix0N8pgpuvxIwJLAcQ!2e0!7i13312!8i6656 ",4e7f00e9-4ad7-4742-97e3-e83235ea3037,https://bit.ly/2UxW3n7
13,Baltimore,ROAD,Military_Service,175th Infantry Memorial Highway Dedicated to MD's ""Dandy 5th"",2004,"Dedicated to the 175th Infantry Regiment, one of the oldest in the U.S. formed during the American Revolution and has a garrison in Dundalk. The “Dandy 5th” has won 24 battle honors spanning every major American war.","https://www.google.com/maps/@39.2767956,-76.4771635,3a,50.6y,281.21h,81.16t/data=!3m6!1e1!3m4!1sV2_0v5lsyQlERAWJAAEPLw!2e0!7i13312!8i6656",8a99e115-fc33-42e8-b1c2-4b54da7a6b73,https://bit.ly/2HwFBjz
14,Baltimore,ROAD,Military_Service,Vietnam Veterans Highway,2002,Dedicated to Veterans of the Vietnam War (1959-1975). One of several dedications in Maryland honoring those who served.,"https://www.google.com/maps/@39.2602624,-76.5095147,3a,75y,74.92h,72.26t/data=!3m6!1e1!3m4!1sAGMDc1-x2BJcQfG_5ZtZSA!2e0!7i13312!8i6656",53791423-b728-4d73-b995-da2e95b04219,https://bit.ly/2TICr2N
15,Baltimore City,BRID,Honorary,Francis Scott Key Bridge,1977,"Named in honor of Francis Scott Key, Maryland native and author of our national anthem, ""The Star-Spangled Banner.""",https://goo.gl/maps/zauetCVf7332,af6333c2-8be8-4c02-bce5-1337abe58b83,https://bit.ly/2EanhvH
16,Baltimore City,ROAD,Military_Service,Maryland Purple Heart Trail I-95,1992,Let it be known that those who wear the Purple Heart have given their blood in the defense of their homeland and shall be forever revered by their countrymen.,https://geo.sha.maryland.gov/images/GoogleStreetViewUnavailable.png,936cf515-76db-49b4-a637-8a1b00cb7210,https://bit.ly/2RFzY4E
17,Calvert,ROAD,Political_Service,The Louis L. Goldstein Memorial Highway,1997,"Dedicated to Louis L. “Louie” Goldstein, Calvert County native and MD State Comptroller for a record 40 years, 1958-1998.","https://www.google.com/maps/@38.4016846,-76.4445181,3a,75y,336.44h,81.46t/data=!3m6!1e1!3m4!1s78vkPEJCARbK8h_VhKdaOg!2e0!7i13312!8i6656",990cf764-8887-4d3b-a3cc-5915cb2a91a5,https://bit.ly/2ub3K7a
18,Caroline,BRID,Political_Service,Dedicated to John V. Riffle,N/A,"Dedicated to John V. Riffle, former Town of Greensboro Commissioner.","https://www.google.com/maps/@38.9731415,-75.8005383,3a,43.7y,89.15h,91.49t/data=!3m6!1e1!3m4!1sVdpqd-q9FL9LWJDZVBVJuQ!2e0!7i13312!8i6656!6m1!1e1",ffcee21c-4a7e-4681-8b66-d938b95fc19c,https://bit.ly/2u4eDIa
19,Caroline,BRID,Activist,This Bridge Dedicated to Frederick Douglass,2004,"Dedicated to Frederick Douglass, Talbot County native, orator, writer and statesman who escaped slavery and became a national leader of the abolitionist movement.","https://www.google.com/maps/@38.8298632,-75.9158908,3a,49.4y,31.86h,73.59t/data=!3m6!1e1!3m4!1saNGcmv-lCFkME5Qy4ub3eQ!2e0!7i13312!8i6656",e598fcee-da24-477b-bf48-2f39c5d333b1,https://bit.ly/2XUzb3D
20,Carroll,ROAD,Honorary,Francis Scott Key Highway,N/A,"Named in honor of Francis Scott Key, Maryland native and author of our national anthem, ""The Star-Spangled Banner"".","https://www.google.com/maps/@39.7197026,-77.1228832,3a,75y,215.22h,92.41t/data=!3m6!1e1!3m4!1sz8fC-7ED8z8slwERTNkIzA!2e0!7i13312!8i6656!6m1!1e1",c54b76c4-6a34-4b24-b869-d156c0b6544b,https://bit.ly/2EanhvH
21,Cecil,BRID,Political_Service,This Bridge Dedicated to Senator Walter Baker,N/A,"Dedicated to Walter Baker, prominent area political official who represented District 36 in the Maryland State Senate from 1979 to 2002.","https://www.google.com/maps/@39.6056416,-75.832357,3a,75y,126.8h,84.12t/data=!3m6!1e1!3m4!1s72tBHp7ghQmLqsrPN-kIlA!2e0!7i13312!8i6656",e8af0069-15b8-49dc-992a-6bf0eb5b45e5,https://bit.ly/2F7U6r4
22,Cecil,ROAD,Military_Service,Blue Star Memorial Highway,1953,Marked highways that pay tribute to those who have served in the U.S. Armed Forces. The blue star was used on service flags to denote a service member fighting in the war.,https://geo.sha.maryland.gov/images/GoogleStreetViewUnavailable.png,79556d2e-2b57-405c-bbaf-934950f3098d,https://bit.ly/2AOlqIL
23,Cecil,ROAD,Political_Service,Joseph Biggs Memorial Highway,N/A,"Named in honor of Joseph B. Biggs, affectionately known as “Joeby,"" a prominent Cecil County Commissioner in the 1970's.","https://www.google.com/maps/@39.6950281,-76.0614999,3a,78.3y,153h,92.98t/data=!3m6!1e1!3m4!1sPG892CLvA_zzUWJA7eWVLA!2e0!7i3328!8i1664",e263c56c-8955-4afd-b054-f4284d7dae4d,https://bit.ly/2HwGj0g
24,Cecil,ROAD,Philanthropist,Jacob Tome Memorial Highway,N/A,Named in honor of Jacob Tome a philanthropist and founder of Tome School and Cecil County's first millionaire.,https://geo.sha.maryland.gov/images/GoogleStreetViewUnavailable.png,e0ee1750-f07c-4eb8-8680-7d3b543b8fc6,https://bit.ly/2W1w7Rj
25,Cecil,BRID,Political_Service,Thomas J. Hatem Memorial Bridge,1985,"Named in honor of Thomas J. Hatem, longtime Harford County Democratic political figure who served a term in the MD House of Delegates and held other various public servant roles.","https://www.google.com/maps/@39.5676204,-76.0747249,3a,63.2y,242.43h,89.65t/data=!3m6!1e1!3m4!1slfTcQlAFJh1a4HTkPlG2hg!2e0!7i13312!8i6656!6m1!1e1",5f6b5139-6c52-4326-8c2b-494d0d86ec7b,https://bit.ly/2T72E6K
26,Cecil,BRID,Political_Service,Millard E. Tydings Memorial Bridge,1963,"Named in honor of Millard Evelyn Tydings, Havre de Grace native, who represented Maryland in the United States Senate from 1927 to 1951. ","https://www.google.com/maps/@39.5848923,-76.0968079,3a,60y,239.48h,88.84t/data=!3m6!1e1!3m4!1seMgELDNalUlHA8hszS1yQg!2e0!7i13312!8i6656",a9fd3704-0ad5-47c2-8b91-84255d50fbd5,https://bit.ly/2HyJG6X
27,Dorchester,BRID,Political_Service,Frederick C. Malkus Jr. Bridge,1985,"Dedicated to former Senator Frederick “Fred” Malkus, Jr. who served 48 consecutive years in the General Assembly and was raised on a farm outside Cambridge.","https://www.google.com/maps/@38.5924316,-76.0470813,3a,55.5y,234.86h,76.52t/data=!3m6!1e1!3m4!1sXEMwa_4hoxHQUy0us1IAuA!2e0!7i13312!8i6656 ",38e127f7-af0e-4ebd-b711-d9c6acdefe2a,https://bit.ly/2XXlH77
28,Dorchester,ROAD,Activist,This Highway Dedicated to Harriet Tubman,1997,"Dedicated to Harriett Tubman, Dorchester County native, the abolitionist and humanitarian who rescued over 70 enslaved families using the Underground Railroad.","https://www.google.com/maps/@38.5596882,-76.0630201,3a,75y,117.83h,97.28t/data=!3m6!1e1!3m4!1sBWfFr8q1FNvQ9lx1b60xbA!2e0!7i13312!8i6656",3d66c325-0393-4155-9cd5-5c6bd23dc06c,https://bit.ly/2O63waC
