State,Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Michigan,Green Arrow Route,,,,,,
Michigan,Green Arrow Route-Mackinac Trail,,,,,,
Michigan,Charles J. Rogers Interchange,,,,,,
Michigan,SPC Robert Friese Memorial Highway,,,,,,
Indiana,Tuskegee Airmen Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Interstate_75_in_Michigan
Michigan,David Warsen Memorial Highway,,,,,,
Michigan,Earle Memorial Highway,,,,,,
Michigan,G. Mennen Williams Highway and Prentiss M. Brown Memorial Highway,,,,,,
Michigan,Specialist 5 Michael May and Corporal Chris Esckelson Memorial Highway,,,,,,
Michigan,Pulaski Memorial Highway,,,,,,
Indiana,American Legion Memorial Highway,,,,,,https://en.wikipedia.org/wiki/American_Legion_Memorial_Highway
Michigan,Corpsman Aaron D. Ullom Memorial Bridge,,,,,,
Michigan,Adler Memorial Highway,,,,,,
Michigan,Marine Lance Corporal Ryan Burgess Memorial Highway,,,,,,
Michigan,Gold Star Mothers Memorial Highway,,,,,,
Michigan,Iron Brigade Memorial Highway,,,,,,
Michigan,Moses J. Jones Parkway,,,,,,
Michigan,Sheriff Robert Radden Memorial Highway,,,,,,
Michigan,Marine Corps League Memorial Highway,,,,,,
Michigan,United Spanish War Veterans' Memorial Highway,,,,,,
Michigan,Staff Sergeant Ergin V. Osman Memorial Highway,,,,,,
Michigan,Veteran's Memorial Causeway,,,,,,
Michigan,Ronald W. Reagan Memorial Highway,,,,,,
Michigan,Philip A. Hart Memorial Highway,,,,,,
Michigan,Corporal Matthew Edwards Memorial Highway,,,,,,
Michigan,Columbus Memorial Highway,,,,,,
Indiana,World War II Veterans Memorial Highway,,,,,,https://en.wikipedia.org/wiki/World_War_II_Veterans_Memorial_Highway
Indiana,Blue Star Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Blue_Star_Memorial_Highway
Michigan,"""Carl Oleson, Jr. Bridge""",,,,,,
Michigan,Sgt. Henry E. Plant Memorial Grand River Bridge Non-Motorized Trail,,,,,,
