input_name,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
Capitol Highway,Capitol,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Capitol_Records,,[],,,,,,,,,
Colvill Memorial Highway,Colvill,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Colville_(surname),,[],,,,,,,,,
Floyd B. Olson Memorial Highway,Floyd B Olson,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Theodore Christianson Drive,Theodore Christianson,highway,,,,,,,,,,,politician,,male,1883-09-12,12/9/1948,https://en.wikipedia.org/wiki/Theodore_Christianson,,[],,,,,,,,,
P.H. McGarry Memorial Drive,PH McGarry,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Veterans' Evergreen Memorial Drive,Veterans Evergreen,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Yellowstone Trail,Yellowstone,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Yellowstone_National_Park,,[],,,,,,,,,
Sioux Trail,Sioux,highway,,,,,,,,,,,,,,,,"https://en.wikipedia.org/wiki/Sioux_Falls,_South_Dakota",,[],,,,,,,,,
Arthur V. Rohweder Highway,Arthur V Rohweder,highway,,,,,,,,,,,,,,,,https://ceb.wikipedia.org/wiki/Arthur_V_Rohweder_Memorial_Highway_Historical_Museum,,[],,,,,,,,,
Hiawatha Pioneer Trail,Hiawatha Pioneer,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Blue Star Memorial Highway,Blue Star,highway,,,,,,,,,,,,,,,,https://pl.wikipedia.org/wiki/Blue_Star,,[],,,,,,,,,
John A. Johnson Memorial Highway,John A Johnson,highway,,,,,,,,,,,physiologist,,male,5/16/1924,,,,[],,,,,,,,,
Glacial Ridge Trail,Glacial Ridge,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Glacial_Ridge_National_Wildlife_Refuge,,[],,,,,,,,,
Eisenhower Memorial Bridge,Eisenhower,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Eisenhower_(surname),,[],,,,,,,,,
Hiawatha-Appleblossom Scenic Drive,HiawathaAppleblossom Scenic,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Voyageur Highway,Voyageur,highway,,,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Voyageur_(jeu_vid%C3%A9o),,[],,,,,,,,,
Viking Trail,Viking,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Viking_Press,,[],,,,,,,,,
Veterans Memorial Bridge,Veterans,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Veteran,,[],,,,,,,,,
George Mann Memorial Highway,George Mann,highway,,,,,,,,,,,researcher,,male,,,,,[],,,,,,,,,
Olof Hanson Drive,Olof Hanson,highway,,,,,,,,,,,politician,,male,1882-06-03,6/4/1952,https://en.wikipedia.org/wiki/Olof_Hanson_(politician),,[],,,,,,,,,
American Veterans Memorial Highway,American Veterans,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/AMVETS,,[],,,,,,,,,
Moberg Trail,Moberg,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Moberg_(surname),,[],,,,,,,,,
Paul Bunyan Expressway,Paul Bunyan,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Paul_Bunyan_(operetta),,[],,,,,,,,,
Disabled American Veterans Highway and Rest Area,Disabled American Veterans Highway and Rest Area,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
B.E. Grottum Memorial Highway,BE Grottum,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Wally Nelson Highway,Wally Nelson,highway,,,,,,,,,,,peace activist,,male,3/27/1909,5/23/2002,https://en.wikipedia.org/wiki/Wally_Nelson,,[],,,,,,,,,
Laura Ingalls Wilder Historic Highway,Laura Ingalls Wilder,highway,,,,,,,,,,,writer,,female,1867-02-07,2/10/1957,https://en.wikipedia.org/wiki/Laura_Ingalls_Wilder,,[],,,,,,,,,
Minnesota Veterans Memorial Highway,Minnesota Veterans,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Bridge of Hope,Bridge of Hope,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Bridge_of_Hope,,[],,,,,,,,,
Betty Adkins Bridge,Betty Adkins,highway,,,,,,,,,,,politician,,female,6/4/1934,10/29/2001,https://en.wikipedia.org/wiki/Betty_Adkins,,[],,,,,,,,,
POW/MIA Memorial Highway,POWMIA,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Veterans Memorial Highway,Veterans,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Veteran,,[],,,,,,,,,
Amish Buggy Byway,Amish Buggy Byway,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Czech Heritage Highway,Czech Heritage,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Victory Drive,Victory,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/HMS_Victory,,[],,,,,,,,,
Veterans Memorial Highway,Veterans,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Veteran,,[],,,,,,,,,
Dale Wayrynen Memorial Highway,Dale Wayrynen,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Augie Mueller Memorial Highway,Augie Mueller,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Don Rickers Memorial Highway,Don Rickers,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Ruby L. Hughes Boulevard,Ruby L Hughes,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
State Trooper Timothy J. Bowe Memorial Highway,State Trooper Timothy J Bowe,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Otter Tail Veterans Memorial Drive,Otter Tail Veterans,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
C. Elmer Anderson Memorial Highway,C Elmer Anderson,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
34th Infantry (Red Bull) Division Highway,34th Infantry Red Bull Division,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Richard J. Mathiowetz Memorial Highway,Richard J Mathiowetz,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Old St. Anne's Pass,Old St Annes Pass,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
"State Trooper Theodore ""Ted"" Foss Memorial Highway",State Trooper Theodore Ted Foss,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
King of Trails,King of Trails,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
"Bradley Waage ""Brainerd Brad"" Memorial Bridge",Bradley Waage Brainerd Brad,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Veterans Memorial Bridge,Veterans,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Veteran,,[],,,,,,,,,
Purple Heart Memorial Highway,Purple Heart,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,,[],,,,,,,,,
