County,Location,Road Name,ORC Section,Description,Effective Date,Legislator
Adams,State Route 781,Cpl. Willard Boston WallaceMemorial Highway,Sec. 5534.674,"The portion of SR 781, between mile marker 2 and mile marker 4, in Adams County",2025-03-19,
Adams,U.S. Route 41,TSgt. Grover Lee Swearingen Memorial Highway,Sec. 5534.835,"The northbound and southbound lanes of SR 41, between Peebles, Ohio and West Union, Ohio, in Adams County",2025-03-19,
Adams,State Route 136,Governor Thomas Kirker Highway,5533.13,"The road known as state route number one hundred thirty-six, running in a north and south direction through the counties of Adams and Highland and through the municipal corporations of Sugartree Ridge, Winchester, Cherry Fork, Bentonville, and Manchester shall be known as the ""Governor Thomas Kirker highway.""",1973-09-28,
Adams,State Highway 7,The Atlantic and Pacific Highway,5533.02,"The road known as state highway number seven, extending along the Ohio river between Cincinnati, Ohio, and Gallipolis, Ohio, and through the counties of Hamilton, Clermont, Brown, Adams, Scioto, Lawrence, and Gallia and through the municipal corporations of Cincinnati, New Richmond, Neville, Higginsport, Ripley, Aberdeen, Manchester, Portsmouth, Ironton, Protorville, and Gallipolis is designated as ""the Atlantic and Pacific highway."" In Rome township, Lawrence county, the said Atlantic and Pacific highway shall follow state highway number five hundred and nine instead of number seven.",1953-10-01,
Adams,State Route 41,Old Zane Trace Memorial Highway,5533.2,"The road known as state route number forty-one, running in a northeasterly and southwesterly direction, commencing at the village of Aberdeen, in Brown county, as the junction of United States route number fifty-two, and extending through the counties of Adams, Highland, and Pike to the junction of state route number forty-one with state route number fifty, at the west junction thereof, in Ross county, shall be known as the ""Old Zane Trace Memorial Highway.""",1973-09-28,
Adams,State Route 41,Specialist 4 Samuel A. Johnson Memorial Highway,5533.463,"In addition to any other name prescribed in the Revised Code or otherwise, that portion of the road known as state route number forty-one, commencing at the intersection of that state route and Rarden road within the municipal corporation of Peebles and proceeding in a northerly direction to the intersection of that state route and the road known as cemetery road to the west of that state route and as frog hollow road to the east of that state route, within Adams county only, shall be known as the ""Specialist 4 Samuel A. Johnson Memorial Highway.""",2015-03-19,
Adams,State Route 41,Corporal Lucas C. Scott Memorial Highway,5533.624,"In addition to the designation in section 5533.20 of the Revised Code, that portion of the road known as state route number forty-one, commencing at the intersection of that state route and state route number thirty-two and proceeding in a northerly direction to the intersection of state route forty-one and Shaker Run road in the village of Peebles in Adams county only, shall be known as the ""Corporal Lucas C. Scott Memorial Highway.""",2013-03-22,
Adams,U.S. Route 52,Adams County Vietnam Veterans Memorial Highway,5534.819,The portion of U.S. Route 52 running in an easterly and westerly direction across the entire southern portion of Adams County,2022-07-21,
Allen,Interstate Route 75,American Legion Memorial Highway,5533.24,"The road known as interstate route seventy-five, running in a southerly direction from the city of Toledo, Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery and Warren to the city of Cincinnati, Hamilton county, shall be known as the ""American Legion Memorial Highway.""",1973-09-28,
Allen,Interstate Route 75,Pearl Harbor Memorial Highway,5533.241,"In addition to the designation in section 5533.24 of the Revised Code, the road known as interstate route seventy-five, running in a southerly direction from the city of Toledo in Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery, Warren, and Butler to the city of Cincinnati in Hamilton county, also shall be known as the ""Pearl Harbor Memorial Highway.""",2004-03-05,
Allen,State Route 309,Captain Dennis Pintor Memorial Highway,5533.311,"That portion of the road known as state route number three hundred nine, running in a northwesterly and southeasterly direction, commencing at the intersection of that road and Piquad road and extending to the intersection of that road and Baty road in Allen county only, shall be known as the ""Captain Dennis Pintor Memorial Highway.""",2015-03-23,
Allen,State Route 309,Army Cpl. Nathan B. Carse Memorial Highway,5534.11,"That portion of the road known as state route three hundred nine, running in an easterly and westerly direction, commencing at the intersection of that road and south Phillips road and extending to the intersection of that road and south Pevee road in Allen county only, shall be known as the ""Army Cpl. Nathan B. Carse Memorial Highway.""",2015-03-23,
Allen and Auglaize,Interstate Route 75,SPC Christian M. Neff Memorial Highway,5534.832,"The northbound and southbound lanes of I-75, between East 4th Street and National Road, in Allen and Auglaize counties",2023-04-06,
