input_name,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
100th Infantry Battalion Memorial Highway,100th Infantry Battalion,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/100th_Infantry_Battalion,,[],,,,,,,,,
10th Mountain Division Memorial Highway,10th Mountain Division,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/10th_Mountain_Division,,[],,,,,,,,,
442nd Regimental Combat Team Memorial Highway,442nd Regimental Combat Team,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/442nd_Infantry_Regiment_(United_States),,[],,,,,,,,,
Abiel Barron Memorial Highway,Abiel Barron,highway,https://www.odmp.org/officer/16903-detective-i-abiel-abe-barron,"Detective I Abiel ""Abe"" Barron","Detective Abe Barron was killed in an automobile crash when his patrol car was struck head-on by another vehicle on California 138 in San Bernardino County. Detective Barron and his partner were in the area while conducting an investigation. Another vehicle was attempting to pass a tractor-trailer and crossed into the oncoming lane of traffic at 7:30 p.m. Detective Barron was killed instantly, and his partner was critically injured. The driver of the vehicle that struck their car was also injured. He was arrested in the hospital and charged with manslaughter with gross negligence. Detective Barron had served with the Los Angeles Police Department for 19 years and was assigned to the Northeast Division's unsolved murder squad. He is survived by his wife and 13-year-old daughter.",49,19 years,24314,Automobile crash,"Wednesday, June 25, 2003",Cause: Automobile crash,100.0,,,,,,,,[],,,,,,,,,
Adolfo Camarillo Memorial Highway,Adolfo Camarillo,highway,,,,,,,,,,,businessperson,,male,1864-10-28,1958-12-10,https://en.wikipedia.org/wiki/Adolfo_Camarillo,,[],,,,,,,,,
Aerospace Highway,Aerospace,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Aerospace,,[],,,,,,,,,
Alan S. Hart Freeway,Alan S Hart Freeway,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Alex Madonna Memorial Highway,Alex Madonna,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Alice Pena Bulos Memorial Highway,Alice Pena Bulos,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
All America City Highway,All America City,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/All-America_City_Award,,[],,,,,,,,,
Alpine State Highway,Alpine State,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Alpine_states,,[],,,,,,,,,
Amber Dubois Memorial Highway,Amber Dubois,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
America’s Heroes-Veterans Memorial Highway,Americas HeroesVeterans,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Antelope Valley Freeway,Antelope Valley Freeway,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Archie Moore Memorial Freeway,Archie Moore Memorial Freeway,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Armed Forces Freeway,Armed Forces Freeway,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Arnold C. Garcia Memorial Highway,Arnold C Garcia,highway,https://www.odmp.org/officer/640-group-supervisor-arnold-castilleja-garcia,Group Supervisor Arnold Castilleja Garcia,"Group Supervisor Arnold Garcia succumbed to injuries sustained the previous day when he was beaten by a juvenile prisoner with a metal table leg at the Dorothy Kirby Juvenile Detention Center, at 1500 South McDonnell Avenue, in Commerce City. At approximately 1:00 am the juvenile, who was serving a sentence for burglary and a weapons violation, asked Supervisor Garcia if he could be let out of or his room to use the bathroom. When Supervisor Garcia opened the door the juvenile struck him in the head with the leg of a table he had disassembled in his room. The boy and a second juvenile then escaped the facility, but were both apprehended in an adjacent railroad yard a short time later. Supervisor Garcia had served with the Los Angeles County Probation Department for 17 years. He was survived by his wife and 11 children.",58,17 years,Not available,Assault,"Tuesday, April 5, 1994","Cause: Assault Incident Date: Monday, April 4, 1994 Weapon: Blunt object Offender: Apprehended",92.85714285714286,,,,,,,,[],,,,,,,,,
Arroyo Seco Parkway,Arroyo Seco,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arroyo_Seco_Municipality,,[],,,,,,,,,
Artesia Freeway,Artesia Freeway,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
"Arthur H. Breed, Jr. Freeway",Arthur H Breed Jr Freeway,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Avenue of the Giants,Avenue of the Giants,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Avenue_of_the_Giants,,[],,,,,,,,,
Avocado Highway,Avocado,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Avocado,,[],,,,,,,,,
Bakersfield All-America City Freeway,Bakersfield AllAmerica City Freeway,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
"Bakersfield, Maricopa and Ventura Highway",Bakersfield Maricopa and Ventura,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Barstow Freeway,Barstow Freeway,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Barstow_Freeway,,[],,,,,,,,,
Bayshore Freeway,Bayshore Freeway,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Bayshore_Freeway,,[],,,,,,,,,
Ben Hulse Highway,Ben Hulse,highway,,,,,,,,,,,politician,,male,1894-09-24,1961-03-02,https://en.wikipedia.org/wiki/Ben_Hulse,,[],,,,,,,,,
Bernie Richter Memorial Highway,Bernie Richter,highway,,,,,,,,,,,politician,,male,1931-09-07,1999-10-25,https://en.wikipedia.org/wiki/Bernie_Richter,,[],,,,,,,,,
Betty Meltzer Memorial Highway,Betty Meltzer,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Biggs-Willows Road,BiggsWillows,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Bill Whitehurst Memorial Highway,Bill Whitehurst,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Border Friendship Route,Border Friendship Route,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
