OBJECTID,MEMORIAL_N,DESCRIPTIO,YEAR,INCIDENT_YEAR,COUNTY,HIGHWAY,MAINTENANCE_DISTRICT,NAME,LOCATION,TITLE_69_STATUTE,LAW_COMMISSION_ITEM,HISTORICAL_NOTES,WORKING_DETAILS,NEVER_FORGOTTEN,MEMORIAL_CATEGORY,LAST_EDITED_USER,LAST_EDITED_DATE,HISTORICAL_NOTES_2,YORN,HISTORICAL_NOTES_3,HISTORICAL_NOTES_4,Shape__Length
1,Captain David ""JP"" Thompson Memorial Highway,The section of US 64 beginning at Hooker in Texas County extending east to Turpin in Beaver County.,2012,,"Texas, Beaver",US-64,6,Captain David ""JP"" Thompson Memorial Highway,The section of US 64 beginning at Hooker in Texas County extending east to Turpin in Beaver County.,1698.143.,"Senate Bill 1320, c. 309, § 5, Okla. Session Laws 2012; Commission Item 92(II, e, 2), 7‐2‐12.","While supporting Operation Enduring Freedom, Cpt. Thompson died from injuries sustained from combat operations.  Medals included Bronze Star Medal with ''V'' device, Army Achievement Medal, Army Good Conduct, National Defense Service, Armed Forces ",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,"Expeditionary, and Global War on Terrorism Expeditionary.",1,,,0.329854182960413
2,Captain Frederick F. Henry Medal of Honor Memorial Highway,Beginning at the southern municipal limit o Vian and extedning north to the northern municipal limit of Vian.,2014,,Sequoyah,SH 82,1,Captain Frederick F. Henry Medal of Honor Memorial Highway ,Beginning at the southern municipal limit of Vian and extending north to the northern municipal limit of Vian.,1698.212.,"Senate Bill 1524, c. 369, § 8, Okla. Session Laws 2014; Commission Item 146 (II, b), 11‐3‐2014.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0321379967098027
3,Captain George Green Memorial Highway,A section of SH 97 beginning at SH 33 in Sapulpa extending north to SH 166.,2015,,Creek,SH 97,8,Captain George Green Memorial Highway,A section of SH 97 beginning at SH 33 in Sapulpa extending north to SH 166. ,1698.216.,"Senate Bill 42, c. 61, § 5, Okla. Session Laws 2015; Commission Item 90 (I, b), 7‐6‐2015.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0224282360884024
4,Captain Kyle King Memorial Highway,A section of US 64 beginning at the municipal limits of Perry and extending east to the municipal limits of Morrison in Noble County.,2014,,"Noble, Comanche",US 64,"4, 7",Captain Kyle King Memorial Highway,A section of US 64 beginning at the municipal limits of Perry extending east to the municipal limits of Morrison in Noble County. ,1698.205.        1698.207.,"Senate Bill 1524, c. 369, § 3, Okla. Session Laws 2014;
Commission Item 146 (I, i), 11‐3‐2014.  ",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.249016565937747
5,Captain Otho Butler Mem. Hwy,The section between Ada and Calvin.,1993,,"Pontotoc, Hughes",SH 1,3,The Captain Otho Butler Memorial Highway,The section between Ada and Calvin. ,,"Commission Item 16, 2‐1‐93.","A native of Allen, Oklahoma, who served as a Company Commander during World War II, leading Company G, 2nd Battalion of the 180th Infantry in the Sicilian invasion in July 1943. Received the Silver Star.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.451871861621007
6,Carl Belew Mem. Hwy,A section beginning in Salina extending approximately one mile west of Salina.,1995,,Mayes,SH 20,8,Carl Belew Memorial Highway,A section beginning in Salina extending approximately 1 mile west of Salina. ,1624,"House Bill 1216, c. 43, § 1, Okla. Session Laws 1995, pg. 221; 
Commission Item 97‐D, 6‐5‐95.","Legendary songwriter from Salina, Oklahoma.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0179353927407138
7,Carsyn Kay Hackler Memorial Highway,From the City of Kiowa extending east approximately 3 miles to Pittsburg.,2009,,Pittsburg,SH 63,2,Carsyn Kay Hackler Memorial Highway,From the City of Kiowa extending east approximately 3 miles to Pittsburg.,1698.57.,"House Bill 1769, c. 150, § 2, Okla. Session Laws 2009; Commission Item 94(a, 2), 6‐22‐09.","Died November 11, 2007, from an injury she had received in a rodeo accident when the horse she was riding fell on her. She was 7 years old at the time of her death.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0403789992769279
8,Cecil B. 'Bud' Greathouse Bypass,The bypass around the southwest side of Atoka.,1984,,Atoka,SH 3 Bypass,2,The Cecil B. 'Bud' Greathouse Bypass,The bypass around the southwest side of Atoka.,,"Commission Item 170, 10‐1‐84.",Military hero in World War II and the Korean War.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0193599604769033
9,Centennial Expreeway,The section between I-40 and I-44 in Oklahoma City.,1988,,Oklahoma,I‐235,4,Centennial Expressway,The section between I‐40 and I‐44 in Oklahoma City. ,," Commission Item 134, 7‐5‐88.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0768853968075412
10,Chappelle Family Memorial Highway,A section of US 75 beginning at I-244 extending north to 56th Street North in Tulsa.,2012,,Tulsa,US 75,8,Chappelle Family Memorial Highway,A section of US 75 beginning at I‐244 extending north to 56th Street North in Tulsa.,1698.134.       1698.151.,"House Bill 3108, c. 305, § 18, Okla. Session Laws 2012; Commission Item 92(I, b, 19), 7‐2‐12.","The state honored the Tulsa family, known for their hard work and dedication to the community.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0917309503114097
12,101 RANCH MEM. RD.,The section between US 77 in Noble County and US 60 in Kay County -,1990,,"Noble, Kay",SH 156,4,101 Ranch Memorial Road,The section between US 77 in Noble County and US 60 in Kay County.,,"S. C. Res. 80, Okla. Session Laws 1990, pg. 1945;  Commission Item 157‐B, 7‐9‐90.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.272020806847582
14,"1st Lt Robert E Trigalet, USMC, Memorial Highway",Portion of SH 16 beginning at SH 48 extending east to S 329th W Avenue in Creek County.,2016,,Creek,SH 16,8,"1st Lt Robert E. Trigalet, USMC, Memorial Highway",The portion of SH 16 beginning at SH 48S extending east to S 329th W Avenue.,1698.234.,"Laws 2016, HB 2268, c. 239, § 6, eff. November 1, 2016 Commission Item 159, 11-9-15",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,,,,0.0267536981185068
15,1st. Lt. Brandon Landurm Memorial Highway,A section of SH 65 beginning at NE Cache Road extending north and easterly 2 miles.,2015,,Comanche,SH 65,7,1st Lt. Brandon Landrum Memorial Highway,A section of SH 65 beginning at NE Cache Road extending north and easterly 2 miles.,1698.219.,"House Bill 1354, c. 240, § 8, Okla. Session Laws 2015; ",,"Bridge was named in 1933, but the monument was erected in 1970. 2.  Plaque:  Dedicated in honor of the Honorable C. B. Memminger State Senator ‐ As a tribute for outstanding public service. 3.  His career in public service began as a Page in the very",,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0317948283567283
16,Tuskegee Airman 2nd Lt Faythe McGinnis Memorial Highway,A section of US 69 beginning at W Shawnee Street in Muskogee extending north to West Fern Mountain Road in Muskogee County; an amendment to an existing designation adding the title “Tuskegee Airman”.,2019,,Muskogee,US-69,1,Tuskegee Airman 2nd Lt Faythe McGinnis Memorial Highway,An amendment to an existing designation located on US-69 beginning at W. Shawnee Street extending north to W. Fern Mountain Road on the north edge of Muskogee. (The term ""Tuskegee Airman"" was added.),1698.281,"House Bill 2311 Eff. November 1, 2019 Commission Item 123, 9-03-2019 Rep. Avery Frix",KIA in WWII (First casualty of the Tuskegee Airmen),,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0146960146178583
17,2nd Lt. Joe Lee Cunningham Memorial Highway,A section of SH 70B beginning at the southern municipal limits of Kingston extending southerly to Apple Street.,2014,,Marshall,SH-70B,2,2nd Lt. Joe Lee Cunningham Memorial Highway,A section of SH 70B beginning at the southern municipal limits of Kingston  extending southerly to Apple Street.,1698.196.,"House Bill 3018, c. 268, § 3, Okla. Session Laws 2014; Commission Item 146 (I, c), 11‐3‐2014.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0754620666716681
18,2nd Lt. Luke James Memorial Highway,From the municipal limits of Optima to the Kansas State Line.,2005,,Texas,SH-54,6,2nd Lt. Luke James Memorial Highway,From the municipal limits of Optima to the Kansas State Line. ,1681,"House Bill 1310, c. 157, § 2, Okla. Session Laws 2005;
House Bill 1941, c. 271, § 1, Okla. Session Laws 2007; Commission Item 103 (B, 2), 6‐6‐05.    Commission Item 106 (3, a), 7‐16‐07.","Army Second Lieutenant Luke James was killed January 27, 2004, while serving his country in Iraq.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.42957023759844
20,45th Infantry Division Memorial Highway,Across Oklahoma,1988,,Statewide,SH 3,,45th Infantry Division Memorial Highway,Across Oklahoma.,,"S. C. Res. 93, Okla. Session Laws 1988, pg. 1919;
S. C. Res. 7, Okla. Session Laws 1989, pg. 1679;
S. C. Res. 64, Okla. Session Laws 1992, pg. 2884; Commission Item 88, 5‐2‐88;
Commission Item 194‐C, 9‐5‐89;
Commission Item 51, 4‐6‐92.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,0,,,7.99879588833294
21,95th Divison Memorial Highway,A section of I-44 beginning at the intersection of SH 7 in Lawton extending north to mile marker 46. (Approximately 9 miles.),2010,,Comanche,I-44,7,95th Division Memorial Highway,A  section of I-44 beginning at the intersection of SH 7 in Lawton extending north to mile marker 46. ,1698.80.,"House Bill 2696, c. 232, § 5, Okla. Session Laws 2010; Commission Item 73(c, 5), 6‐7‐10.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.136930673413074
22,A. C. Hamlin Parkway,From Waterloo Road north to Charter Oak Road.,2008,,Logan,I‐35,4,A.C. Hamlin Parkway,From Waterloo Road north to Charter Oak Road.,1698.29.,"House Bill 2691, c. 25, § 12, Okla. Session Laws 2008; Commission Item 87 (1, l), 6‐2‐08.",Served in the Oklahoma House of Representatives from 1909 to 1911.  The son of a formerly enslaved person was the first black member of the Oklahoma Legislature.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0292679791777404
23,Admiral Joe 'JOCKO' Clark Trailways,Between Bushyhead in Rogers County and White Oak in Craig County.,1984,,Craig,SH 66,8,Admiral Joe 'Jocko' Clark Trailways,Between Bushyhead in Rogers County and White Oak in Craig County.,,"Commission Item 149, 9‐4‐84.",He was a military hero in World War II and the highest-ranking officer of Indian ancestry in the history of the United States Armed Forces. He is a member of the Cherokee Hall of Fame.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.300310993499031
24,Agent Choc Ericsson Memorial Highway,SE of Woodward from SH 34 to the Indian Creek Bridge,2006,,Woodward,US-270,6,Agent Choc Ericsson Memorial Highway,Southeast of Woodward from SH 34 to the Indian Creek Bridge. ,1698,"Senate Bill 1412, c. 275, § 6, Okla. Session Laws 2006; Commission Item 122 (a), 7‐10‐06.",An Oklahoma Bureau of Narcotics and Dangerous Drugs agent was killed in the line of duty on US 270.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0641478399627834
25,America's Corner,"In Oklahoma City, a 20 mile radius emanating from the relative intersection of I-35, I-40 and I-44.",1996,,Oklahoma,"I‐35, I‐40 & I‐44",4,America's Corner,"In Oklahoma City, a 20 mile radius emanating from the relative intersection of I‐35, I‐40 and I‐44.",,"S. J. Res. 37, Okla. Session Laws 1996, pg. 1878; Commission Item 102, 6‐3‐96.",To enhance this State's position as a national hub for transportation-sensitive industries and research facilities.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.308131353700851
26,American Legion Memorial Highway,Across Oklahoma,1958,,Statewide,US-281,,The American Legion Memorial Highway,Across Oklahoma.,1604,"H. J. Res. 514, Okla. Session Laws 1959, pg. 497;  Commission Item 769, 11‐17‐58;
Commission Item 144, 5‐2‐60.",Memorial dedicated to the American Legion.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,3.85800054562377
27,Angie Debo Mem. Hwy,1. A section of SH-51 beginning at the Kingfisher/Logan County line extending east to the intersection of SH 74. 2. A section of SH 74 beginning at intersection of SH 51 extending north to the Garfield County Line.,1996,,Logan,SH 51 & SH 74,4,Angie Debo Memorial Highway,A section of SH -51 beginning at the Kingfisher/Logan County line extending east to the intersection of SH 74 intersection.     2.  A section of SH 74 beginning at intersection of SH 51 extending north to the Garfield County line.,,"H. C. Res. 1093, Okla. Session Laws 1996, pg. 1909; Commission Item 139‐A, 8‐5‐96.",Writer and historian of Indian culture.  Author of And Still the Waters Run.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.138004932361295
28,"Army PVT Paul Gilbert, KIA WWII, Memorial Highway",Section of US 377 beginning at SH 7 East extending north to the Pontotoc/Johnston County line in Johnston County,2016,,Johnston,US 377,3,"Army PVT Paul Gilbert, KIA WWII, Memorial Highway",A section of US 377 beginning at SH 7 East extending north to the Pontotoc/Johnston County line.,1698.244.,"Laws 2016, HB 2268, c. 239, § 12, eff. November 1, 2016 Commission Item 159, 11-9-15",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.147801524144992
