input_name,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
101 RANCH MEM. RD.,101 RANCH MEM RD,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
1LT David Timothy Wright II Memorial Highway,1LT David Timothy Wright II,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
"1st Lt Robert E Trigalet, USMC, Memorial Highway",1st Lt Robert E Trigalet USMC,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
1st. Lt. Brandon Landurm Memorial Highway,1st Lt Brandon Landurm,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
2nd Lt. Joe Lee Cunningham Memorial Highway,2nd Lt Joe Lee Cunningham,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
2nd Lt. Luke James Memorial Highway,2nd Lt Luke James,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
42nd 'Rainbow' Infantry Division Memorial Highway,42nd Rainbow Infantry Division,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
45th Infantry Division Memorial Highway,45th Infantry Division,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/45th_Infantry_Division_(United_States),,[],,,,,,,,,
95th Divison Memorial Highway,95th Divison,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
A. C. Hamlin Parkway,A C Hamlin,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Admiral Joe 'JOCKO' Clark Trailways,Admiral Joe JOCKO Clark Trailways,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
