input_name,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
All American Freeway,All American Freeway,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/All_American_Freeway,,[],,,,,,,,,
Allen Tate,Allen Tate,highway,,,,,,,,,,,poet,,male,1899-11-19,1979-02-09,https://en.wikipedia.org/wiki/Allen_Tate,,[],,,,,,,,,
Ambassador Mattie Sharpless,Ambassador Mattie Sharpless,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
American Indian Highway,American Indian,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Andrew Jackson Highway,Andrew Jackson,highway,,,,,,,,,,,judge,,male,1767-03-15,1845-06-08,https://en.wikipedia.org/wiki/Andrew_Jackson,,[],,,,,,,,,
Andy Griffith,Andy Griffith,highway,,,,,,,,,,,film producer,,male,1926-06-01,2012-07-03,https://en.wikipedia.org/wiki/Andy_Griffith,,[],,,,,,,,,
Andy W. Anderson,Andy W Anderson,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Arnold N. Lakey,Arnold N Lakey,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
"Beloved Man, Dr. Jerry Wolfe Highway",Beloved Man Dr Jerry Wolfe,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Benjamin F. Cox,Benjamin F Cox,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Benny Parsons,Benny Parsons,highway,,,,,,,,,,,racing automobile driver,,male,1941-07-12,2007-01-16,https://en.wikipedia.org/wiki/Benny_Parsons,,[],,,,,,,,,
"Betsy L. Cochrane, Senator",Betsy L Cochrane Senator,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Bill G. Anderson,Bill G Anderson,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Bill Lee,Bill Lee,highway,,,,,,,,,,,composer,African Americans,male,1928-07-23,2023-05-24,https://en.wikipedia.org/wiki/Bill_Lee_(musician),,[],,,,,,,,,
