input_name,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
1011th Quartermaster Co. U.S. Army Reserve Memorial Highway,1011th Quartermaster Co US Army Reserve,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
242nd Engineer Company - KS Army National Guard - Highway,242nd Engineer Company  KS Army National Guard,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
2nd Lieutenant Justin L. Sisson Memorial Highway,2nd Lieutenant Justin L Sisson,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
35th Infantry Division Memorial Highway,35th Infantry Division,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/35th_Infantry_Division_(United_States),,[],,,,,,,,,
75th Division of the United States Army Highway,75th Division of the United States Army,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
89th Division of the United States Army Highway,89th Division of the United States Army,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
930th Ordnance Ammunition Company By-pass,930th Ordnance Ammunition Company Bypass,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
"95th Division, The Iron Men of Metz Highway",95th Division The Iron Men of Metz,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
96th Infantry Division Memorial Highway,96th Infantry Division,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/96th_Infantry_Division_(United_States),,[],,,,,,,,,
AMM2c Walter Scott Brown Memorial Highway,AMM2c Walter Scott Brown,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Amelia Earhart Memorial Highway,Amelia Earhart,highway,,,,,,,,,,,aircraft pilot,,female,1897-07-24,1939-01-05,https://en.wikipedia.org/wiki/Amelia_Earhart,,[],,,,,,,,,
American Legion Memorial Highway,American Legion,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/American_Legion,,[],,,,,,,,,
Ancient Indian Traders Trail,Ancient Indian Traders,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Atomic Veteran's Memorial Highway,Atomic Veterans,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
Barnes Brothers Memorial Highway,Barnes Brothers,highway,,,,,,,,,,,,,,,,https://ceb.wikipedia.org/wiki/Barnes_Brothers_Reservoir_Dam,,[],,,,,,,,,
Ben E. Vidricksen Highway,Ben E Vidricksen,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
