State,Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Utah,Ram Boulevard Memorial Highway,,,,,,
Utah,Mike Dmitrich,politician,male,,1936-10-23,2024-09-30,https://en.wikipedia.org/wiki/Mike_Dmitrich
Utah,Pete Suazo,politician,male,,1951-06-04,2001-08-19,https://en.wikipedia.org/wiki/Pete_Suazo
Utah,Pioneer Trail Memorial Memorial Highway,,,,,,
Utah,Dinosaur Diamond Prehistoric Memorial Highway,,,,,,
Utah,I-15 designated as Veterans' Memorial Memorial Highway,,,,,,
Utah,The Purple Heart Trail Memorial Highway,,,,,,
Utah,Legacy Loop Memorial Highway,,,,,,
Utah,Utah National Parks Memorial Highway,,,,,,
Utah,Tenth Mountain Division Memorial Memorial Highway,,,,,,
Utah,The Utah Fruitway Memorial Highway,,,,,,
Utah,K. Gunn McKay,politician,male,,1925-02-23,2000-10-06,https://en.wikipedia.org/wiki/K._Gunn_McKay
Utah,James V. Hansen,politician,male,,1932-08-14,2018-11-14,https://en.wikipedia.org/wiki/Jim_Hansen_(Utah_politician)
Utah,Mormon Pioneer Heritage Area Memorial Highway,,,,,,
Utah,Cory B. Wride,,,,,,
Utah,Vietnam Veterans Memorial Memorial Highway,,,,,,
Utah,Minuteman Memorial Highway,,,,,,
Utah,Chief Special Warfare Operator (SEAL) Jason R. Workman Memorial Bridge Memorial Highway,,,,,,
Utah,Navajo Code Talker Memorial Highway,,,,,,
Utah,Grand Army of the Republic Memorial Highway,,,,,,
Utah,Golden Spike/Lincoln,,,,,,
Utah,Jake Garn,politician,male,,1932-10-12,,https://en.wikipedia.org/wiki/Jake_Garn
Utah,Borgstrom Brothers,,,,,,
