Clean_Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,Noah_Thinks_is_Real
Jim Tullis,politician,,male,1941-11-03,2017-10-14,https://en.wikipedia.org/wiki/Jim_Tullis,True
Allan Bense,politician,,male,1951-10-06,,https://en.wikipedia.org/wiki/Allan_Bense,True
Dr. Martin Luther King Jr.,pastor,African Americans,male,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,True
Robert L. Clark,lawyer,,male,1872-01-31,,https://en.wikipedia.org/wiki/Robert_L._Clark,False
James Harold Thompson,politician,,male,1944-11-10,,https://en.wikipedia.org/wiki/James_Harold_Thompson,True
John U. Lloyd,,,,,,https://en.wikipedia.org/wiki/Dr._Von_D._Mizell-Eula_Johnson_State_Park,False
Helen Gordon Davis,actor,,female,1926-12-25,2015-05-18,https://en.wikipedia.org/wiki/Helen_Davis,True
Robert L. Shevin,lawyer,,male,1934-01-19,2005-07-11,https://en.wikipedia.org/wiki/Robert_L._Shevin,True
"Martin Luther King, Jr.,",pastor,African Americans,male,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,True
Countyline,,,,,,"https://en.wikipedia.org/wiki/Countyline,_Oklahoma",False
Harriet Tubman,writer,African Americans,female,1821-00-00,1913-03-10,https://en.wikipedia.org/wiki/Harriet_Tubman,True
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
SP4 Billy Jacob Hartsfield,,,,,,https://commons.wikimedia.org/wiki/Category:SP4_Billy_Jacob_Hartsfield_Memorial_Bridge,True
Ponce de Leon,,,,,,https://commons.wikimedia.org/wiki/Category:Ponce_de_Le%C3%B3n_(surname),False
Julia Munroe Woodward,,,,,,https://en.wikipedia.org/wiki/Florida_State_Road_269,True
Shirley Brown,singer,,female,1947-01-06,,https://en.wikipedia.org/wiki/Shirley_Brown,True
Bessie Coleman,aircraft pilot,African Americans,female,1892-01-26,1926-04-30,https://en.wikipedia.org/wiki/Bessie_Coleman,True
Fred Karl,lawyer,,male,1924-05-14,2013-03-07,https://en.wikipedia.org/wiki/Frederick_B._Karl,True
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,True
Carmelau Monestime,radio personality,,male,1931-04-06,2016-01-16,https://en.wikipedia.org/wiki/Carmelau_Monestime,True
Ralph Sanchez,businessperson,,male,1948-01-01,2013-01-01,https://en.wikipedia.org/wiki/Ralph_Sanchez,True
Robert L. Shevin,lawyer,,male,1934-01-19,2005-07-11,https://en.wikipedia.org/wiki/Robert_L._Shevin,True
Stanley G. Tate,businessperson,,male,1928-04-25,2024-07-26,https://en.wikipedia.org/wiki/Stanley_G._Tate,True
Miami Springs,,,,,,"https://en.wikipedia.org/wiki/Miami_Springs,_Florida",True
Sabre,,,,,,https://commons.wikimedia.org/wiki/Category:Sabre_(surname),False
Larcenia Bullard,politician,,female,1947-07-21,2013-03-16,https://en.wikipedia.org/wiki/Larcenia_Bullard,True
Betty Pino,announcer,,female,1948-04-21,2013-08-07,https://en.wikipedia.org/wiki/Betty_Pino,True
Muhammad Ali,boxer,African Americans,male,1942-01-17,2016-06-03,https://en.wikipedia.org/wiki/Muhammad_Ali,True
