Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link
Staff Sergeant Michael A Bock,,,,,,
Sergeant Jess Thomas,,,,,,
Specialist Ronald Gaffney,,,,,,
Jim Tullis,politician,,male,1941-11-03,2017-10-14,https://en.wikipedia.org/wiki/Jim_Tullis
Allan Bense,politician,,male,1951-10-06,,https://en.wikipedia.org/wiki/Allan_Bense
Dr Martin Luther King Jr,,,,,,
Dr Von Mizell,,,,,,
Robert L Clark,researcher,,male,,,
Sheriff Charles Simeon Dean,,,,,,
James Harold Thompson,politician,,male,1944-11-10,,https://en.wikipedia.org/wiki/James_Harold_Thompson
Gulf County Veterans,,,,,,
Sergeant Paul Smith,,,,,,
Sergeant Marvin L Roberts,,,,,,
Specialist Alexander Miller,,,,,,
Sheriff Chris Daniels,,,,,,
CK Steele,,,,,,
Deputies Tony Forgione and Bill Myers,,,,,,
John B Arnold Jr,,,,,,
Gold Star Family Memorial Bridge dedicated to US Army CPL Frank R Gross,,,,,,
Submarine Veterans,,,,,,
Dr RC Sproul,,,,,,
David G Ledgerwood,,,,,,
Rev Dr Thomas A Wright,,,,,,
Candice Ellize Francois,,,,,,
Governor Mixson,,,,,,
The Hope and Healing,,,,,,
John U Lloyd,,,,,,https://en.wikipedia.org/wiki/Dr._Von_D._Mizell-Eula_Johnson_State_Park
Wilbur Barry,,,,,,
SP4 Robert Clifford Millender,,,,,,
Francisco A Rodriguez,,,male,1951-00-00,,
Helen Gordon Davis,actor,,female,1926-12-25,2015-05-18,https://en.wikipedia.org/wiki/Helen_Davis
Deputy A Hagood Ellzey,,,,,,
Trooper Patrick Ambroise,,,,,,
Deputy Christopher Smith,,,,,,
Rep J Troy Peacock,,,,,,
Lieutenant Benedict J Thomas,,,,,,
Edith Lederberg,,,,,,
Trooper John C Hagerty,,,,,,
Trooper Joseph Sawtell Jr,,,,,,
Sergeant Steven G Greco,,,,,,
Sergeant George A Brown III,,,,,,
Trooper Bradley S Glascock,,,,,,
Trooper Lindell J Gibbons,,,,,,
Florence Hecht,,,,,,
Trooper William Bill H Dyer,,,,,,
Trooper Robert P McDermon,,,,,,
Trooper Phillip Black  and Corporal Donald Irwin,,,,,,
Robert L Shevin,,,,,,
Manuel A Gonzalez Plaza,,,,,,
Trooper Owen K Bender,,,,,,
Trooper Merle J Cook Trooper Robert L Pruitt Trooper Cleo L Tomlinson Jr,,,,,,
Trooper Luther P Daniel,,,,,,
Sergeant William T Bishop,,,,,,
Trooper Halley Strickland,,,,,,
Fallen Hero Specialist Kelly J Mixon,,,,,,
Martin Luther King Jr,pastor,African Americans,male,1929-01-15,1968-04-04,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
Sheriff David C Hobbs,,,,,,
Sergeant John C Baxter Jr,,,,,,
Patrolman Royston E Walker,,,,,,
Sergeant Daniel Hinton,,,,,,
Jorge P Castano,,,,,,
Trooper Sherman L Scott Jr,,,,,,
Trooper Richard Howell,,,,,,
Troopers Herman T Morris and Frederick J Groves Jr,,,,,,
Trooper Wilburn A Kelly,,,,,,
Trooper Edwin J Gasque,,,,,,
Maceo Perkins,,,,,,
SSGT Edward C Sheffield,,,,,,
Trooper Alvin V Kohler,,,,,,
Trooper Elmer C Barnett,,,,,,
Trooper Chelsea Richard,,,,,,
Trooper Milan D Hendrix,,,,,,
Officer Lance Christian Whitaker,,,,,,
