Name,Occupation,Race,Sex,Age
Jim Tullis,politician,,male,76.0
Allan Bense,politician,,male,
Robert L. Clark,lawyer,,male,
James Harold Thompson,politician,,male,
Francisco A. Rodriguez,,,male,
Helen Gordon Davis,actor,,female,89.0
Robert L. Shevin,lawyer,,male,71.0
"Martin Luther King, Jr.",pastor,African Americans,male,39.0
Harriet Tubman,writer,African Americans,female,92.0
Francis Gibbs,,,male,26.0
Shirley Brown,singer,,female,
Bessie Coleman,aircraft pilot,African Americans,female,34.0
Fred Karl,lawyer,,male,89.0
Carmelau Monestime,radio personality,,male,85.0
Ralph Sanchez,businessperson,,male,65.0
Robert L. Shevin,lawyer,,male,71.0
Stanley G. Tate,businessperson,,male,96.0
Guillermo Zamora,artist,,male,87.0
Rene Ledesma,researcher,,,
Larcenia Bullard,politician,,female,66.0
Betty Pino,announcer,,female,65.0
Muhammad Ali,boxer,African Americans,male,74.0
Nelson Mandela,politician,,male,95.0
C. Bette Wimbish,lawyer,,female,85.0
Albert W. Gilchrist,politician,,male,68.0
Tom Adams,illustrator,,male,93.0
S. Chesterfield Smith,politician,,male,
H. E. Boyd,politician,,male,64.0
Bob Bentley,basketball player,,male,
Claude Pepper,politician,,male,89.0
E. C. Rowell,politician,,male,78.0
Lawton Chiles,politician,,male,68.0
Ronald Reagan,television actor,white people,male,93.0
Billy Bowlegs III,,,male,103.0
James Henry Mills,military personnel,,male,50.0
John L. Robinson,politician,,male,47.0
Harold Haynes,educator,,male,89.0
"Martin Luther King, Jr.",pastor,African Americans,male,39.0
Ben Rowe,racing automobile driver,,male,
Stephen Foster,songwriter,,male,38.0
Charles E. Bennett,classical philologist,,male,63.0
Dan Jones,basketball player,,male,
Don Davis,composer,,male,
Eddie Mae Steward,,,female,62.0
George Matthews,,,male,96.0
James Weldon Johnson,writer,African Americans,male,67.0
Jim Deaton,head coach,,male,
Johnnie Mae Chappell,,,female,35.0
Lawrence Callahan,military personnel,,male,83.0
Moses Baker,missionary,,male,67.0
Napoleon Bonaparte Broward,politician,,male,53.0
Ronald W. Reagan,television actor,white people,male,93.0
Roy Willis,American football player,,male,
St. Elmo W. Acosta,,,male,72.0
Tom Marshall,researcher,,male,
Brett Fulton,rugby league player,,male,
Raeburn C. Horne,politician,,male,66.0
Ray Charles,pianist,African Americans,male,74.0
Bill Pearce,politician,,male,74.0
Dwight David Eisenhower,politician,,male,79.0
Stephen Foster,songwriter,,male,38.0
John W. Campbell,editor,,male,61.0
Ron Parker,American football player,,male,
Verle Allyn Pope,politician,,male,70.0
C. D. Clark,earth scientist,,male,
Fuller Warren,politician,,male,68.0
Fuller Warren,politician,,male,68.0
Don Sutton,baseball player,,male,76.0
Reubin O'Donovan Askew,politician,,male,86.0
Robert L. F. Sikes,politician,,male,88.0
R. L. Moore,mathematician,,male,92.0
Tillie Miller,midwife,,female,67.0
Clifford C. Sims,military personnel,,male,26.0
George G. Tapper,politician,,male,70.0
M. M. Andrews,botanical collector,,female,
Buddy Williams,street artist,,male,68.0
Pete Peterson,politician,,male,
Richard H. Simpson,politician,,male,63.0
S. D. Clarke,businessperson,,male,85.0
Apalachee,,,male organism,
James Gadsden,soldier,,male,70.0
Pat Thomas,boxer,,male,
Danny Wuerffel,American football player,,male,
James W. Lee,politician,,male,86.0
Jim Franklin,actor,,male,57.0
Robert L. F. Sikes,politician,,male,88.0
Roger J. Clary,,,male,
Angus Morrison,lawyer,,male,60.0
Arthur L. Andrews,military personnel,,male,62.0
Gretchen Evans,environmentalist,,female,81.0
David J. Cook,,,male,
John Creel,advocate,,male,67.0
Ralph C. Carter,politician,,male,75.0
Dave Turner,political candidate,,male,
Dwight L. Rogers,politician,,male,68.0
"E. Clay Shaw, Jr.",politician,,male,74.0
Marina Mile,researcher,,female,
James H. Pruitt,politician,,male,85.0
Merrill P. Barber,politician,,male,75.0
Dan McCarty,politician,,male,41.0
Stan Mayfield,politician,,male,53.0
Thomas E. Will,educator,,male,76.0
Jerry Thomas,politician,,male,
Robert A. Harris,university teacher,,male,
Hubert Humphrey,politician,Norwegian Americans,male,67.0
Patrick D. Smith,novelist,,male,87.0
Bernard Castro,inventor,,male,87.0
Nathan Mayo,politician,,male,84.0
Wallace E. Sturgis,politician,,male,68.0
Willard Ayres,botanist,,male,90.0
"William V. Chappell, Jr.",politician,,male,67.0
Daniel Webster,politician,,male,70.0
Francis L. Dade,military officer,,male,42.0
Irlo Bronson,politician,,male,81.0
Semoran,,,male organism,
Arnold Palmer,golfer,,male,87.0
