Name,Occupation,Race,Sex,Age
Staff Sergeant Michael A. Bock,,,,
Sergeant Jess Thomas,,,,
Specialist Ronald Gaffney,,,,
Jim Tullis,politician,,male,76.0
Allan Bense,politician,,male,
Dr. Martin Luther King Jr.,,,,
Dr. Von Mizell,,,,
Robert L. Clark,lawyer,,male,
Sheriff Charles Simeon Dean,,,,
James Harold Thompson,politician,,male,
Gulf County Veterans,,,,
Sergeant Paul Smith,,,,
Sergeant Marvin L. Roberts,,,,
Specialist Alexander Miller,,,,
Sheriff Chris Daniels,,,,
CK Steele,,,,
Deputy Tony Forgione,,,,
Deputy Bill Myers,,,,
"John B. Arnold, Jr.",,,,
U.S. Army CPL Frank R. Gross,,,,
Submarine Veterans,,,,
Dr. R.C. Sproul,,,,
David G. Ledgerwood,,,,
Rev. Dr. Thomas A. Wright,,,,
Candice Ellize Francois,,,,
Governor Mixson,,,,
The Hope and Healing,,,,
John U. Lloyd,,,,
Wilbur Barry,,,,
SP4 Robert Clifford Millender,,,,
Francisco A. Rodriguez,,,male,
Helen Gordon Davis,actor,,female,89.0
Deputy A. Hagood Ellzey,,,,
Trooper Patrick Ambroise,,,,
Deputy Christopher Smith,,,,
Rep. J. Troy Peacock,,,,
Lieutenant Benedict J. Thomas,,,,
Edith Lederberg,,,,
Trooper John C. Hagerty,,,,
Trooper Joseph Sawtell Jr.,,,,
Sergeant Steven G. Greco,,,,
"Sergeant George A. Brown, III",,,,
Trooper Bradley S. Glascock,,,,
Trooper Lindell J. Gibbons,,,,
Florence Hecht,,,,
Trooper William 'Bill' H. Dyer,,,,
Trooper Robert P. McDermon,,,,
Trooper Phillip Black,,,,
Corporal Donald Irwin,,,,
Robert L. Shevin,lawyer,,male,71.0
Manuel A. Gonzalez Plaza,,,,
Trooper Owen K. Bender,,,,
Trooper Merle J. Cook,,,,
Trooper Robert L. Pruitt,,,,
Trooper Cleo L. Tomlinson Jr.,,,,
Trooper Luther P. Daniel,,,,
Sergeant William T. Bishop,,,,
Trooper Halley Strickland,,,,
Fallen Hero Specialist Kelly J. Mixon,,,,
"Martin Luther King, Jr.",pastor,African Americans,male,39.0
Sheriff David C. Hobbs,,,,
"Sergeant John C. Baxter, Jr.",,,,
Patrolman Royston E. Walker,,,,
Sergeant Daniel Hinton,,,,
Jorge P. Castano,,,,
"Trooper Sherman L. Scott, Jr.",,,,
Trooper Richard Howell,,,,
Trooper Herman T. Morris,,,,
"Trooper Frederick J. Groves, Jr.",,,,
Trooper Wilburn A. Kelly,,,,
Trooper Edwin J. Gasque,,,,
Maceo Perkins,,,,
SSGT Edward C. Sheffield,,,,
Trooper Alvin V. Kohler,,,,
Trooper Elmer C. Barnett,,,,
Trooper Chelsea Richard,,,,
Trooper Milan D. Hendrix,,,,
Officer Lance Christian Whitaker,,,,
Countyline,,,,
A.B. Michael Bridges,,,,
Archibald Johns Thomas,,,,
Army Captain Joseph M. Berkson,,,,
Austin D. Gay,,,,
Bart D. and John R. Broxson,,,,
Deputy Chief Lynne Nungesser,,,,
Deputy Donald Ray Cook,,,,
Deputy Matt Miller,,,,
Deputy Sheriff David Anthony Abella,,,,
"General Daniel ‘Chappie’ James, Jr.",,,,
Harriet Tubman,writer,African Americans,female,92.0
J.D. Turner,,,,
John B. Coxwell,,,,
John C. Gainous,,,,
Joshua S. Montaad,,,,
Julius ‘July’ Perry,,,,
Manuel H. ‘Manny’ Piedra,,,,
