word,count
the,1044
and,942
his,495
for,361
was,289
american,215
born,193
known,176
florida,126
legacy,118
career,112
from,111
content,93
death,92
served,84
biographical,83
during,83
leaving,79
like,76
provided,74
became,74
figure,74
her,71
including,71
political,69
military,69
notable,68
with,68
birth,67
contributions,65
not,65
details,63
are,63
passed,59
away,59
history,59
achievements,59
its,58
best,56
key,56
politician,54
later,54
played,53
rights,53
role,52
about,52
prominent,51
one,51
century,50
early,50
war,49
she,48
work,47
individual,46
united,46
also,45
states,45
civil,44
profession,44
historical,43
service,42
dates,42
specific,40
though,40
information,39
has,38
most,38
leadership,38
died,37
state,37
over,37
public,37
person,36
development,35
significance,35
new,35
politics,34
roles,34
life,34
miami,34
lasting,33
education,32
who,32
does,32
remains,32
music,31
which,31
into,31
influential,30
first,30
rather,30
describes,30
wikipedia,29
than,29
both,29
before,29
university,28
but,28
earning,28
without,28
recognition,27
significant,27
earned,27
house,27
world,27
contributing,27
where,26
march,26
member,26
documented,25
him,25
available,25
after,24
army,24
football,24
multiple,24
personal,24
summary,23
behind,23
president,23
national,23
county,23
representatives,23
television,23
community,23
particularly,23
page,23
through,22
gained,22
january,22
widely,22
impact,22
this,22
research,22
cuban,22
include,21
founded,21
further,21
may,21
appears,20
pivotal,20
primarily,20
city,20
sports,20
professional,19
decades,19
can,19
activist,19
that,19
advocacy,19
governor,18
justice,18
subject,18
such,18
marked,18
york,18
recognized,18
contain,18
major,18
text,18
april,18
modern,17
name,17
serving,17
data,17
shaping,17
instead,17
remain,17
film,17
making,16
october,16
across,16
late,16
until,16
age,16
college,16
iconic,16
legal,16
black,16
officer,16
june,16
law,16
cuba,16
social,16
figures,16
entertainment,16
due,15
leader,15
business,15
respected,15
john,15
under,15
various,15
band,15
spans,15
policies,15
september,14
infrastructure,14
held,14
actor,14
government,14
school,14
democratic,14
july,14
general,14
advocating,14
named,14
works,14
thomas,13
industry,13
arts,13
international,13
fame,13
pioneering,13
air,13
contributed,13
films,13
educational,13
whose,13
reform,13
james,13
included,13
player,13
representing,13
park,13
english,13
robert,13
governance,13
while,13
context,13
february,13
required,13
rock,13
symbol,12
william,12
songwriter,12
policy,12
series,12
detailed,12
local,12
medal,12
party,12
area,12
george,12
numerous,12
conservative,12
king,12
includes,12
founding,12
media,12
sources,12
woman,11
references,11
fields,11
beyond,11
biography,11
were,11
seminole,11
dade,11
movement,11
involvement,11
mid,11
endures,11
human,11
awards,11
south,11
against,11
haiti,11
company,11
racial,11
educator,11
region,11
significantly,11
active,11
present,11
racing,11
former,11
activism,11
renowned,10
versatility,10
carolina,10
republican,10
december,10
legislative,10
extensive,10
voice,10
undocumented,10
back,10
establishing,10
would,10
tied,10
cultural,10
generated,10
influence,10
high,10
given,10
aviation,10
controversial,10
established,10
innovative,10
district,10
global,10
equality,10
becoming,10
forces,10
cemented,10
performances,10
martin,10
field,10
worked,9
their,9
any,9
civic,9
musician,9
singer,9
writer,9
cannot,9
led,9
extracted,9
progressive,9
part,9
businessman,9
located,9
transitioned,9
focus,9
georgia,9
african,9
exact,9
washington,9
popular,9
focused,9
center,9
limited,9
legislature,9
left,9
november,9
culture,9
team,9
august,9
acclaim,9
tenure,9
leading,9
celebrated,9
women,8
meaningful,8
christian,8
operations,8
period,8
reforms,8
expertise,8
literary,8
health,8
show,8
substantive,8
family,8
records,8
time,8
four,8
honors,8
art,8
today,8
features,8
country,8
castro,8
advocate,8
have,8
lack,8
prominence,8
science,8
poet,8
british,8
acting,8
athletics,8
academic,8
island,8
theater,8
sport,8
attorney,8
lawyer,8
north,8
congress,8
efforts,8
honor,8
years,8
people,8
navigation,8
revolution,8
individuals,8
hollywood,7
centuries,7
several,7
commercial,7
kansas,7
design,7
baseball,7
mentioned,7
day,7
league,7
additional,7
excerpt,7
began,7
america,7
sparsely,7
native,7
academy,7
spanned,7
around,7
had,7
land,7
kentucky,7
activities,7
coastal,7
following,7
involved,7
support,7
all,7
congressional,7
beach,7
actress,7
freedom,7
union,7
department,7
made,7
entrepreneur,7
marine,7
system,7
artists,7
economic,7
radio,7
security,7
era,7
atlanta,7
diverse,7
prior,7
franklin,7
landmark,7
institutions,7
often,7
difficult,7
medical,7
resistance,7
smith,7
miller,7
disambiguation,7
journalism,6
single,6
enduring,6
success,6
well,6
waters,6
retiring,6
natural,6
regarding,6
defensive,6
place,6
fiction,6
veterans,6
nfl,6
bay,6
california,6
showcasing,6
authored,6
projects,6
highlights,6
programs,6
entry,6
alabama,6
latin,6
growth,6
cinema,6
character,6
williams,6
naval,6
engineer,6
architecture,6
innovations,6
space,6
genre,6
athletic,6
pursued,6
parker,6
game,6
issues,6
comprehensive,6
events,6
jacksonville,6
collegiate,6
foundation,6
slavery,6
leaders,6
advancing,6
springs,6
healthcare,6
colonel,6
cook,6
unclear,6
legendary,6
icon,6
revolutionary,6
anti,6
now,6
solidifying,6
literature,6
post,6
hall,6
two,6
program,6
southern,6
distinguished,6
author,6
virginia,5
originally,5
judicial,5
coral,5
location,5
dedication,5
professor,5
critical,5
collaborated,5
town,5
professions,5
stage,5
themes,5
skills,5
commitment,5
urban,5
style,5
strong,5
theory,5
summarized,5
associated,5
coast,5
secretary,5
therefore,5
cementing,5
placeholder,5
jazz,5
society,5
alongside,5
teams,5
popularity,5
attack,5
private,5
successful,5
pioneer,5
commentator,5
mexican,5
luther,5
nonviolent,5
short,5
broader,5
laid,5
baptist,5
senate,5
scandal,5
west,5
speed,5
israel,5
positions,5
track,5
parks,5
coach,5
nature,5
port,5
minister,5
car,5
turner,5
competed,5
background,5
actively,5
trailblazer,5
biscayne,5
poetry,5
comedy,5
ferguson,5
heritage,5
federal,5
destination,5
campaigns,5
montgomery,5
domestic,5
peace,5
prize,5
rose,5
administration,5
power,5
developed,5
opportunities,5
ship,5
historically,5
achieved,5
revolutionized,5
range,5
furniture,5
soldier,5
edward,5
influenced,5
vice,5
term,5
lacks,5
executive,5
studies,5
long,5
teaching,5
links,5
worldwide,5
truman,5
received,5
journalist,5
act,5
railroad,5
saint,5
speech,5
aircraft,5
corps,5
fleet,5
recreational,5
tennessee,5
architect,5
three,5
residential,5
albums,5
six,5
pink,5
dramatic,5
constructed,5
direct,5
pop,5
cold,5
rising,5
being,5
german,5
uss,5
lost,4
boycott,4
related,4
anderson,4
henry,4
built,4
combat,4
bravery,4
lee,4
dedicated,4
businesses,4
recording,4
london,4
preserve,4
colonial,4
road,4
dream,4
child,4
rule,4
aba,4
village,4
vietnam,4
legislation,4
other,4
philanthropist,4
assassinated,4
wildlife,4
welsh,4
segregation,4
continues,4
climate,4
geography,4
trade,4
minor,4
movements,4
inspired,4
near,4
accolades,4
opposition,4
religious,4
organizations,4
basketball,4
five,4
regarded,4
bus,4
producing,4
based,4
been,4
called,4
killed,4
americans,4
resilience,4
hits,4
defense,4
advanced,4
performed,4
corporation,4
promoting,4
collaborations,4
correctional,4
manager,4
gund,4
makes,4
golden,4
still,4
metadata,4
classics,4
alexander,4
technology,4
representative,4
senator,4
powerful,4
appearances,4
generations,4
offers,4
independent,4
productions,4
case,4
spent,4
widespread,4
nick,4
dutch,4
chief,4
performing,4
accurate,4
environmental,4
maryland,4
fictional,4
characters,4
liberal,4
maritime,4
real,4
year,4
maintaining,4
exploration,4
owned,4
structure,4
bill,4
participated,4
more,4
harry,4
champion,4
represented,4
ncaa,4
continued,4
bowl,4
mission,4
harris,4
bomber,4
korean,4
exile,4
expansion,4
van,4
expanding,4
conflict,4
judge,4
reflecting,4
politicians,4
campus,4
metropolitan,4
less,4
refers,4
cut,4
chicago,4
organization,4
david,4
likely,4
manuel,4
motorsports,4
original,4
wartime,4
profile,4
andrews,4
shaped,4
set,4
arrest,4
landscape,4
covering,4
san,4
within,4
automotive,4
reputation,4
financial,4
communities,4
coaching,4
entering,4
artist,4
training,4
census,4
european,4
safety,4
indiana,4
cleveland,4
material,4
event,4
folk,4
abuse,4
scientific,4
musical,4
charles,4
geographical,4
punk,4
court,4
date,4
hart,4
settlement,4
classic,4
engagement,3
spanish,3
harbor,3
clyde,3
site,3
old,3
preservation,3
generation,3
higher,3
empire,3
techniques,3
force,3
french,3
wilson,3
versatile,3
songs,3
playing,3
dessalines,3
cunningham,3
crime,3
graduated,3
jacques,3
pino,3
